Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (Nám),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Airspeed (m/s),Airspeed Pressure (Pa),Electrical forward flight efficiency (%),Vibration (g),App message
0,1228,,,,0.076171875,-0.005859375,-0.9765625,,0.054946766,12.28793622,0.570467664,3034,0,6.923334032,,31.25928022,,,0.321673986,0.061767462,2.50444673,0.548828125,
0,1228,,,,0.05859375,-0.029296875,-1.005859375,-0.00804373,,12.28875996,0.558094739,3049,0,6.763506798,2.567942071,37.96761278,0.021397198,0.008124005,0.269487129,-0.043350255,2.147717917,0.546875,
0.20533312,1228,,,,0.052734375,0.025390625,-1.013671875,-0.006778348,0.034056642,12.28913236,0.55407196,3049,0,6.710592831,2.163913916,32.24624068,0.015738446,0.005075057,0.467800555,-0.130625171,2.329006394,0.55859375,
0.31014312,1228,,,,0.166015625,-0.1328125,-0.92578125,,0.046804223,12.28954063,0.553576292,3027,0,6.697690778,,32.07774433,,,0.227172114,0.030805145,1.557341925,0.5703125,
0.41161312,1228,,,,0.013671875,0.017578125,-1.083984375,-0.009152379,0.03626277,12.28975506,0.557249291,3020,0,6.74623827,2.894509602,42.90553469,0.012528122,0.005375258,0.561997018,0.188533645,2.963482165,0.576171875,
0.50181812,1228,,,,0.140625,-0.142578125,-0.908203125,-0.007771443,,12.28933837,0.553575431,3019,0,6.692345029,2.456847282,36.7113063,0.01475988,0.005418545,0.576112502,0.198126223,3.06237915,0.576171875,
0.59813312,1228,,,,0.05078125,-0.125,-1.04296875,,0.063396058,12.28944772,0.549358877,3002,0,6.633676794,,36.83162718,,,0.72995547,0.318071862,6.843421952,0.572265625,
0.69267312,1228,,,,0.1015625,-0.01953125,-0.990234375,-0.007012884,,12.28980308,0.549430272,2993,0,6.629539843,2.197712709,33.15030547,0.028846381,0.009562663,0.850742202,0.432049362,7.980789408,0.5625,
0.78280312,1228,,,,0.0625,-0.01953125,-1.00390625,-0.006857832,0.043145304,12.28900047,0.544533084,2987,0,6.553446507,2.145470091,32.73804232,0.020109954,0.006583605,1.137998073,0.773080682,7.349779514,0.55078125,
0.88091812,1228,,,,0.025390625,0.068359375,-1.078125,,0.043213432,12.28967522,0.549866921,2987,0,6.622445355,,32.39635136,,,1.182562519,0.834790152,7.569958321,0.53515625,
0.97739312,1228,,,,0.1015625,-0.14453125,-0.9453125,-0.007040518,,12.28954445,0.551386563,2990,0,6.654901206,2.204181922,33.12118172,0.019605202,0.006493475,1.296544752,1.003444072,8.259117804,0.52734375,
1.06116312,1228,,,,0.048828125,-0.005859375,-1.041015625,,0.043269868,12.28968766,0.551904426,2987,0,6.669999741,,33.01556609,,,1.242611196,0.92167704,7.907952041,0.515625,
