Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Airspeed (m/s),Airspeed Pressure (Pa),Electrical forward flight efficiency (%),Vibration (g),App message,
0,1250,,,,-0.04033203125,0.02275390625,-1.0056640625,-0.019552779640136256,0.07066665372072425,11.930271947672841,1.078476872523494,4430,0,12.754182874126917,9.069739968591728,71.11267004643354,0.007791548293848666,0.005540747642420489,2.6827063576731716,-4.169787336306451,14.581197465396468,1.02451171875,,
3.7838483500004045,1283,,,,-0.04169921875,0.01201171875,-1.01025390625,-0.02690430665098027,0.1161691545987464,11.925567346322108,1.7866652735202753,5371,0,21.171739016053984,15.13364892639228,71.48133813860076,0.007676375555657101,0.005487048512173737,2.8019414417132533,-4.549043866755488,15.082551418897449,0.80751953125,,
7.0007548500003525,1315,,,,-0.00849609375,0.03876953125,-0.994140625,-0.03466959121391908,0.16570190893701892,11.917952464552787,2.653429920944106,6167,0,31.503123500263143,22.38839550064346,71.06727058575868,0.007401341393103653,0.005259881525026006,2.9500626916302863,-5.042501875575913,15.222046924004701,0.91953125,,
10.217444350000402,1348,,,,-0.0296875,0.0130859375,-1.005859375,-0.0426018341322261,0.21656939920894108,11.917598782516151,3.5571491212047235,6846,0,42.25525652708968,30.54377465498403,72.28450815488438,0.007090483247893795,0.005125289520343161,2.978230368428155,-5.142490052517819,14.973850492665406,0.5306640625,,
13.489754350000386,1380,,,,-0.02763671875,0.0111328125,-1.00205078125,-0.049565132689799965,0.26218444350603115,11.921778900738605,4.413350204777756,7391,0,52.47407654535609,38.360293992760674,73.10369578370958,0.006834823860377745,0.004996485817525917,3.0884877019101276,-5.528337563085783,15.138284322933751,0.5228515625,,
16.687316100000427,1413,,,,-0.007421875,0.01259765625,-0.996875,-0.05706909610734897,0.31216941568147505,11.899098621327347,5.365984428954473,7919,0,63.71637466870662,47.326488702661166,74.27714252888732,0.0065961121955505535,0.0048994011853640725,3.1685831046705,-5.822204979225812,15.230147565006941,0.70419921875,,
19.974867850000432,1445,,,,-0.0306640625,0.00908203125,-1.0041015625,-0.06356062148503629,0.35389198556793283,11.891575917861314,6.241320702739143,8347,0,74.08442419351238,55.556111031955425,74.99037418049778,0.006370006978783637,0.004776884118727414,3.308777214629756,-6.34426851719491,15.505395593298402,0.54521484375,,
23.226682350000456,1477,,,,-0.03681640625,0.0169921875,-1.00185546875,-0.06973628588668439,0.39281444109669383,11.878449425890818,7.095162735961523,8735,0,84.16688246100574,63.786390498273626,75.78671734008776,0.006158294477552363,0.004667175987326385,3.4115630451893253,-6.74660202785481,15.620501535252952,0.5763671875,,
26.430812850000386,1510,,,,-0.04404296875,0.0046875,-1.009375,-0.07622019558485829,0.43454023224118893,11.870923419434023,8.027904793879395,9124,0,95.09540160011807,72.82342183383955,76.5797390780032,0.00596707759289729,0.004569564272284369,3.4399685602373538,-6.859095118074497,15.420189959372669,0.59990234375,,
29.669900600000375,1543,,,,-0.0404296875,0.005859375,-1.0111328125,-0.08241603319647028,0.4798458420836204,11.862475093514918,8.95688642807091,9511,0,106.14886397472658,82.08438641097266,77.32967959055574,0.005845766519707714,0.004520504835357703,3.584079986394992,-7.448794308881591,15.893997164757053,0.62578125,,
32.91919810000046,1575,,,,-0.0431640625,0.00234375,-1.01416015625,-0.08821356715545624,0.5211853015969213,11.852876805659106,9.921651613258538,9868,0,117.47869028087698,91.16193350742434,77.59895190203324,0.005717180082011126,0.004436457719399539,3.6323188321734596,-7.648473299175388,15.808473531921146,0.54423828125,,
36.0958288500005,1608,,,,-0.044140625,0.003515625,-1.01181640625,-0.09622710688264426,0.5790371072606,11.841139439706799,11.282149346286447,10341,0,133.4692290735379,104.20761236933092,78.07651084244209,0.005556587314207862,0.004338385241037435,3.802590348509,-8.38131012198933,16.183670293986772,0.6322265625,,
39.297475350000425,1640,,,,-0.0298828125,-0.001953125,-1.00830078125,-0.10740361059225209,0.6495755473648966,11.826121070768457,13.025187354661622,10881,0,153.85136458552927,122.38247681233263,79.54629147001476,0.005307792848515654,0.004222113822556958,3.903403822229618,-8.832018752611296,16.167593203809467,0.68447265625,,
42.50697385000037,1673,,,,-0.0341796875,-0.000390625,-0.98974609375,-0.12502667625512615,0.7362574563899839,11.808542935433474,15.279306177005301,11495,0,180.2273424701097,150.49867314101675,83.50493975333141,0.004892133874440697,0.004085162310445549,4.0590610468422055,-9.55071013053853,16.26695662369613,1.08740234375,,
45.73233460000036,1705,,,,-0.02529296875,-0.001171875,-0.8861328125,-0.13991277070482458,0.8258343517810577,11.788330261478864,17.916207784587947,12097,0,211.09089127807698,177.2476095739319,83.96749785819573,0.004659225499740358,0.003912230997537814,4.287097029247303,-10.654321770437813,16.453191570676378,1.0763671875,,
48.970197350000454,1738,,,,-0.01904296875,-0.00361328125,-0.85986328125,-0.1465331123242252,0.8633816879269294,11.777819561949176,19.087327408151204,12343,0,224.63236554254044,189.40018959129023,84.31563016573357,0.004558505166815337,0.0038435321842709555,4.346456784508821,-10.950707196422538,16.388297440930835,0.98984375,,
