Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1250,,,,0.17841796875,-0.04560546875,-1.02138671875,0.0029370047584487457,0.06327480586658467,11.980222252290542,0.6659771725108664,6820,0,7.834672050067797,2.0974608983316747,26.774118503084658,0.0301998265083347,0.008077087242130482,1.39697265625,,
4.280416684749954,1270,,,,-0.09140625,-0.02900390625,-0.9880859375,0.0009754434100452223,0.04971875590440088,11.980208592051657,1.1728890023853524,8233,0,13.92640637292214,0.8412240427491801,6.0350608427463195,0.04305486138781348,0.0035710819705515886,1.97861328125,,
7.8056881847499415,1290,,,,-0.1890625,0.123828125,-0.9248046875,-0.0007101685841611059,0.031632260896204425,11.976974562375673,1.7916820853842872,9562,0,21.30881256003014,0.7110930150312835,3.3385535025192454,0.04853320341165568,0.0014845928987021885,2.5720703125,,
11.261121684749984,1310,,,,-0.0365234375,0.10478515625,-1.03916015625,-0.0028451201048401474,0.015587055770405867,11.974578036717352,2.489112309862962,10772,0,29.668127625798444,3.2096306529737006,10.81763732226925,0.004863147446371946,0.0005253556391552952,2.22841796875,,
14.834206184749865,1330,,,,-0.0783203125,-0.10712890625,-0.998828125,-0.004879983347968335,0.0016256482763953451,11.973958463520237,3.2511063281398394,11832,0,38.81782076505626,6.045783133457865,15.575302915315806,0.0002691982942470708,0.00004190574432959113,2.12509765625,,
18.569678434749974,1350,,,,-0.00029296875,-0.0787109375,-0.8451171875,-0.006858629193593426,-0.012841388829998681,11.990213231695805,4.049391527294564,12747,0,48.44288050036092,9.155156860967407,18.899934581925223,0.0014055689031809353,0.00026506713561561906,2.58662109375,,
21.997904934749847,1370,,,,-0.1376953125,-0.071875,-0.93251953125,-0.009029013320327734,-0.028778382051664313,11.969841386341495,4.901857141368954,13632,0,58.5203184616056,12.889420128449643,22.025627621925764,0.002233835956832452,0.0004917718798430268,3.37880859375,,
25.560916684749955,1390,,,,0.1306640625,-0.09033203125,-0.96494140625,-0.010557790317941997,-0.04011397777446918,11.953558718474898,5.612972594429417,14302,0,66.95338262303446,15.81186513867217,23.6165361221212,0.0025383118398949744,0.000599138874465466,2.89677734375,,
29.15828393474992,1410,,,,-0.09853515625,0.10419921875,-1.04599609375,-0.012082380799707807,-0.054214769751106576,11.944527951960522,6.424821702958705,15029,0,76.59988937271744,19.016004810652987,24.824757213706423,0.002852809165736393,0.000707792676973769,3.000390625,,
32.554787934750046,1430,,,,0.04931640625,0.0400390625,-0.98916015625,-0.013872241130602508,-0.06744622099308457,11.932732030207834,7.231534974898932,15679,0,86.14787505193098,22.77679645456907,26.439711740739206,0.002962118723834899,0.0007829129023246145,3.28818359375,,
36.27953318474986,1450,,,,0.17080078125,-0.02431640625,-0.97138671875,-0.015474848630965718,-0.0805551717945848,11.920778154828405,8.020735398453265,16252,0,95.44632334206763,26.336086112083866,27.59257632649468,0.003058719063990178,0.0008439835799920973,2.8751953125,,
40.02338543474998,1470,,,,0.05302734375,0.10205078125,-0.9033203125,-0.016786551442968152,-0.09248269977320886,11.909528454288127,8.800946879290382,16808,0,104.70867875301988,29.545723467357778,28.216998085338815,0.003131751659821962,0.0008832370695008344,2.94541015625,,
43.7939284347499,1490,,,,0.03623046875,-0.0845703125,-0.99140625,-0.018504797224087134,-0.10152737004389048,11.90346964754225,9.524595902835078,17273,0,113.26019787690852,33.47139428523477,29.552755485847438,0.003033642175408327,0.0008964177476780821,3.09033203125,,
47.55563143474994,1510,,,,0.04580078125,0.06943359375,-1.019140625,-0.01971045523219346,-0.11275403205666978,11.899374528669862,10.323402776802688,17783,0,122.68640608970836,36.70603278689956,29.918662331456648,0.003071926458335374,0.0009190319995684022,3.4,,
51.21695468474998,1530,,,,-0.0810546875,-0.1908203125,-0.83935546875,-0.02092527766981559,-0.1231507916534325,11.896752214620879,11.048510508664245,18189,0,131.28105340387316,39.858921963317826,30.36160004001251,0.0030898216452712535,0.0009380729954708414,3.58447265625,,
54.626289434749914,1550,,,,-0.15361328125,-0.26865234375,-0.85390625,-0.02292198402995011,-0.13600397948068566,11.879827757168275,11.938839909435375,18668,0,141.65611460979648,44.81022502612364,31.6332494966791,0.003035563483664232,0.0009600988122706239,3.6060546875,,
58.04788793475001,1570,,,,0.05556640625,-0.11328125,-0.97587890625,-0.024565652018309684,-0.1464911784278708,11.887839911781205,12.639805721339746,19108,0,150.09880343420068,49.15648787219639,32.74928990108171,0.00298037463864126,0.0009759792147156677,3.67646484375,,
61.58876618474992,1590,,,,0.34345703125,-0.07890625,-0.870703125,-0.025663567966236735,-0.1571055492438827,11.846733966132291,13.39111216527113,19516,0,158.42913458002195,52.44833164374347,33.10515061794813,0.002995558163163349,0.0009916501281296865,3.8365234375,,
65.0192046847499,1610,,,,0.31240234375,-0.09072265625,-0.81279296875,-0.026892368986808683,-0.1665308271541694,11.830756057592284,14.146537203871663,19889,0,167.1699508870708,56.01075306902445,33.505354067103305,0.0029737517303992326,0.0009961751832077478,3.753515625,,
68.38755093475001,1630,,,,0.148046875,-0.28974609375,-0.7240234375,-0.027917396644845372,-0.17619216092174841,11.82840689800023,14.905212180240596,20308,0,176.1333220165131,59.37187988551832,33.70886178000943,0.002967731770330961,0.0010003379500166582,3.99150390625,,
71.78461468474993,1650,,,,0.0630859375,-0.09580078125,-0.86826171875,-0.028673098193600595,-0.18759239800009797,11.824659706247147,15.631482017422623,20684,0,184.64808497111036,62.105475368551936,33.63460084736438,0.003020640382474513,0.0010159512356065362,3.85234375,,
