Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1250,,,,0,-0.0427734375,-1.00673828125,-0.00011785025204371045,0.001793887907314899,11.983173510566413,0.03651768482081519,0,0,0.3119990524690304,0,0,0,0,0.05859375,,
3.5189382672493807,1270,,,,-0.09921875,-0.0181640625,-0.99140625,-0.0037022809712552716,-0.026983873087601702,11.977308158213733,1.0931409096912768,6611,0,12.959171846120054,2.563294125778027,19.785531014314014,0.01052951606701491,0.0020827590557679046,1.40625,,
7.500994267249571,1290,,,,-0.1220703125,-0.01865234375,-1.00234375,-0.0056306093496552335,-0.044160255297722745,11.974615768131788,1.7174357782316663,8184,0,20.435083732515118,4.825813645520574,23.61632024948287,0.009151685831680202,0.0021610121038283217,1.7537109375,,
11.545129017249684,1310,,,,0.06240234375,-0.00302734375,-1.095703125,-0.007550727455987022,-0.06246355869794591,11.978032600096649,2.420185234402235,9530,0,28.849124026096057,7.53535651581749,26.12010079780287,0.008289640834841256,0.002165227945652817,2.19404296875,,
15.50748401724952,1330,,,,-0.1044921875,0.1400390625,-0.99599609375,-0.009792246276667636,-0.08112018844689804,11.972327557819739,3.2325662573043785,10787,0,38.57171378240739,11.061501488925671,28.67801192277515,0.0073348939282650615,0.0021031757651308537,1.92802734375,,
19.6321970172497,1350,,,,-0.015234375,-0.08603515625,-0.87529296875,-0.011830084465343697,-0.09964926534962495,11.982305580695144,4.0724084017115025,11839,0,48.66032488403116,14.66670905255487,30.14273181014223,0.006794360983357522,0.002047977508167643,1.8412109375,,
23.531287017249646,1370,,,,0.00849609375,-0.16611328125,-0.99326171875,-0.01375960828155369,-0.11594901821365469,11.994367084159736,4.830356015113862,12690,0,57.817000023718094,18.285689125351535,31.627150105259915,0.006341766529493309,0.0020054741103016373,2.1962890625,,
27.55778201724962,1390,,,,-0.069921875,0.25087890625,-0.99013671875,-0.015355673023220263,-0.1301913741326484,11.952281878176576,5.6389820199656935,13412,0,67.33053728867287,21.567516594403205,32.03276486519269,0.006036780902254956,0.0019336358108173076,2.31279296875,,
31.525422767249587,1410,,,,0.046484375,-0.1171875,-1.01953125,-0.01715171728724805,-0.14692573188499433,11.940037453666989,6.5114719282508755,14180,0,77.5775638246652,25.468094470451994,32.82932972126487,0.005769208898288738,0.0018939210849153465,2.50966796875,,
35.58106651724973,1430,,,,-0.0451171875,-0.10205078125,-0.97255859375,-0.01864582160747861,-0.16167738166283474,11.931505937418951,7.284257893384508,14851,0,86.75475345480496,28.997441819900406,33.425013280286706,0.005575657084017685,0.001863644211258347,2.8697265625,,
39.57813576724971,1450,,,,0.054296875,-0.0986328125,-0.98837890625,-0.020351539349881202,-0.1760099118657534,11.920755344827025,8.084829093827972,15466,0,96.26475742930133,32.96206661954888,34.2409700665588,0.005339831744777624,0.0018283963937287587,2.31591796875,,
43.60145676724966,1470,,,,0.15859375,-0.05087890625,-1.0236328125,-0.0221271843441049,-0.18992408622068893,11.910315785086315,8.87231068104276,16037,0,105.52316911741225,37.159172513645835,35.21422669055205,0.00511114809017628,0.0017998380848818739,2.5337890625,,
47.689714517249726,1490,,,,0.10166015625,-0.0287109375,-1.00869140625,-0.023656086575695366,-0.20355556040711184,11.901696529641374,9.719611750274689,16578,0,115.50872283104086,41.06749012231061,35.553355789729125,0.004957198608146944,0.0017622644542010517,2.37060546875,,
51.73315801724959,1510,,,,0.01533203125,-0.07509765625,-0.9861328125,-0.02494475189623285,-0.21538336110460263,11.898656668729167,10.399945255928374,17043,0,123.58745522068573,44.52064980834303,36.0235305521591,0.004838056578911339,0.001742757907236233,2.40263671875,,
55.66078401724957,1530,,,,0.13818359375,0.04599609375,-1.00625,-0.026459026448873706,-0.22743985148443535,11.892140386927531,11.19108616027519,17583,0,132.96793807787225,48.719378313476916,36.63991448088291,0.004668425028163178,0.0017104909119237907,2.58779296875,,
59.5495167672496,1550,,,,0.07216796875,-0.07587890625,-1.0013671875,-0.02800299685241862,-0.24086220672800893,11.88353280435463,11.961360294835114,18062,0,141.9690430759759,52.965525291877306,37.307734470657536,0.004547713026270052,0.0016965883759653127,2.951171875,,
63.49871401724964,1570,,,,-0.01083984375,-0.1416015625,-0.94384765625,-0.029848519716304207,-0.25340731680218653,11.859944396836031,12.783308800619471,18548,0,151.48741283548355,57.97678567351395,38.27177638972234,0.004370895093595286,0.0016727990841393678,3.37138671875,,
67.51256426724959,1590,,,,0.01435546875,0.13212890625,-0.8671875,-0.030934848690860366,-0.2623957968225711,11.847654619158194,13.418490163743552,18839,0,158.8457374806833,61.0272830973223,38.41930766459993,0.00429980013686008,0.001651887153250281,3.26220703125,,
71.50652976724976,1610,,,,0.0033203125,-0.14697265625,-0.9755859375,-0.03239481360134901,-0.2745967301732173,11.818146593340442,14.273819535549489,19344,0,168.5142303073967,65.6237025219051,38.9425652025141,0.004184462484015087,0.0016295198783333174,3.266796875,,
75.47228501724962,1630,,,,0.1734375,-0.11826171875,-0.99619140625,-0.033652925198790956,-0.2849528467805603,11.811588684120654,14.993306124794973,19740,0,176.85530836038913,69.5680162404999,39.33626347529874,0.004096048064989125,0.0016112299042954342,3.40791015625,,
