Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1250,,,,-0.12197265625,0.0275390625,-1.025,-0.002344505924404614,-0.017426445177937407,11.979887081721285,0.6949362166105153,5003,0,8.192069478767962,1.2284760557456909,14.998581702589068,0.014193369687759434,0.0021278676468684476,1.48515625,,
4.021922215000144,1270,,,,-0.0072265625,0.10458984375,-1.03212890625,-0.004059932643414247,-0.031497057637200516,11.978253941506434,1.2076306536279326,6682,0,14.327215066194483,2.8408065297627636,19.82874169504664,0.01109277008241722,0.0021985282125481804,2.00927734375,,
7.4879982150001325,1290,,,,-0.09384765625,-0.14814453125,-0.9306640625,-0.006363744181588332,-0.049613771235704644,11.977387611165804,1.8892414349697269,8266,0,22.503012180478663,5.508970182418909,24.48179250566995,0.009007641270271214,0.0022048585212731476,2.0126953125,,
10.911616215000127,1310,,,,-0.02919921875,0.09345703125,-0.92431640625,-0.008636002557300518,-0.06697540554665317,11.97215438168433,2.650577669774683,9602,0,31.592543089962277,8.683816653169032,27.48705912053118,0.00771487570339119,0.002120009668494634,2.5962890625,,
14.350584465000136,1330,,,,0.12197265625,-0.07197265625,-1.0197265625,-0.010759178670075859,-0.08349076885186386,11.974673079333243,3.3981922108312532,10634,0,40.554662654405185,11.981586958268858,29.54390112950823,0.006969670152170049,0.0020588541824466907,2.83310546875,,
17.820086715000162,1350,,,,0.001953125,0.14951171875,-1.057421875,-0.012652220050911964,-0.10021114822468939,11.983913497656554,4.253132621675131,11578,0,50.8221413298918,15.3404012428214,30.185328592233752,0.006532976557094182,0.0019718408895005625,2.62373046875,,
21.312642715000173,1370,,,,-0.0271484375,-0.046484375,-0.96845703125,-0.014737295693857011,-0.11819541163784111,11.960992391642359,5.1656547821231324,12472,0,61.598814145568085,19.248147165788147,31.249818397872303,0.006141141556060219,0.0019188925947952525,3.06845703125,,
24.797302215000162,1390,,,,-0.11748046875,0.14892578125,-0.802734375,-0.016603295341219425,-0.1328903055268365,11.946197833410565,5.99452698076053,13228,0,71.47058015390317,22.999651718415294,32.180774021566826,0.005777929969728219,0.0018593768546924486,3.66064453125,,
28.28107546500015,1410,,,,0.12216796875,-0.36083984375,-0.821875,-0.018490135416847693,-0.14731293039361137,11.937462457184271,6.8735699213016535,13938,0,81.91759332241949,26.987110719573536,32.945498948207266,0.005458828377464464,0.0017983850805852076,3.566796875,,
31.806622715000127,1430,,,,0.02939453125,0.29150390625,-0.832421875,-0.020074622280998038,-0.15880412891374265,11.929516648763883,7.5975767636485445,14486,0,90.48066154309377,30.45195392625239,33.6563934855449,0.005214956591506092,0.0017551409312909609,4.897265625,,
35.25343496500016,1450,,,,0.0671875,-0.20439453125,-0.669140625,-0.021731716049214027,-0.1734259740361352,11.918976143187416,8.48412120073729,15140,0,100.95106690649818,34.45390649342524,34.129379187267574,0.005033590352127573,0.0017179222384304921,4.1935546875,,
38.757687715000124,1470,,,,-0.0349609375,-0.09306640625,-0.74853515625,-0.02382288208161316,-0.18680690518755336,11.909547629431312,9.340857558220346,15729,0,111.1072367276485,39.239369526790526,35.31681109397389,0.004760782092118792,0.0016813275728459558,4.12060546875,,
42.25155571500015,1490,,,,-0.1359375,0.24677734375,-0.66484375,-0.025496681565991757,-0.19919938277396884,11.90724955458859,10.119430645685458,16153,0,120.36859129643327,43.12756197830067,35.829361581012044,0.0046198786193984796,0.0016549286909983301,4.02060546875,,
45.708164215000146,1510,,,,-0.00888671875,0.05830078125,-0.694140625,-0.02696206923307921,-0.21283168729903207,11.895879528873404,10.926813166224651,16687,0,129.813216038824,47.1142448844847,36.294117155786125,0.004517592943950624,0.0016395268689840456,3.8916015625,,
49.19628846500016,1530,,,,0.132421875,-0.1052734375,-0.66875,-0.02860618368141977,-0.22482214947913176,11.886361664401122,11.77080576803065,17200,0,139.76214185925522,51.525136797739165,36.86632439900606,0.004363368691996399,0.0016086110932056583,4.08857421875,,
52.67372246500016,1550,,,,0.23564453125,-0.1138671875,-0.6568359375,-0.02991573183488764,-0.23708867834676162,11.87058661273564,12.619704127983532,17615,0,149.65754121373206,55.183147414958775,36.8729782734912,0.0042966151260480975,0.0015842099498161676,4.111328125,,
56.14703446500016,1570,,,,0.18837890625,-0.3232421875,-0.671875,-0.03110296670253081,-0.245514408130656,11.85290350319497,13.313152230835808,17994,0,157.66608068854518,58.60719537842399,37.171834228933285,0.00418928259935155,0.0015571809003375747,3.759765625,,
59.65377121500019,1590,,,,0.014453125,-0.16220703125,-0.73505859375,-0.03326124646960414,-0.25954923364074345,11.8263660078126,14.13232251280796,18496,0,166.91988993151205,64.42406079172272,38.595811384719255,0.0040287692588390975,0.0015549353612653663,3.81669921875,,
