Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Airspeed (m/s),Airspeed Pressure (Pa),Electrical forward flight efficiency (%),Vibration (g),App message,
0,1228,,,,0.076171875,-0.005859375,-0.9765625,,0.05494676602407509,12.287936215017659,0.5704676641037372,3034,0,6.9233340316141705,,31.2592802248491,,,0.32167398585135937,0.06176746232939223,2.5044467301353306,0.548828125,,
0,1228,,,,0.05859375,-0.029296875,-1.005859375,-0.008043730219397692,,12.288759956371942,0.5580947385577328,3049,0,6.763506797647837,2.5679420709745475,37.96761277548516,0.021397198420142906,0.008124005440962086,0.2694871287700504,-0.04335025489273647,2.147717917289594,0.546875,,
0.20533312000334264,1228,,,,0.052734375,0.025390625,-1.013671875,-0.006778347535919057,0.034056642410102554,12.289132361190696,0.5540719600162647,3049,0,6.71059283120809,2.1639139156354705,32.246240683416744,0.015738446046316603,0.005075057191924939,0.467800555013111,-0.1306251713782487,2.329006394254758,0.55859375,,
0.3101431200057268,1228,,,,0.166015625,-0.1328125,-0.92578125,,0.04680422313615891,12.289540633730468,0.5535762922447003,3027,0,6.697690778183041,,32.07774432850661,,,0.22717211421705902,0.030805144795870376,1.557341925361236,0.5703125,,
0.41161311998963357,1228,,,,0.013671875,0.017578125,-1.083984375,-0.009152379198622967,0.036262770010779814,12.289755058830256,0.5572492906415929,3020,0,6.746238270414424,2.8945096016219733,42.90553469354652,0.012528122204348376,0.005375257818836597,0.5619970176606398,0.18853364524910177,2.9634821649396823,0.576171875,,
0.5018181199878454,1228,,,,0.140625,-0.142578125,-0.908203125,-0.0077714432859877745,,12.289338374642256,0.5535754309519427,3019,0,6.692345029299185,2.456847282326753,36.711306299520416,0.014759879570714392,0.005418544598645299,0.5761125016713556,0.1981262232742509,3.0623791497446313,0.576171875,,
0.5981331200003625,1228,,,,0.05078125,-0.125,-1.04296875,,0.06339605764483033,12.28944771986152,0.5493588769824317,3002,0,6.633676794421493,,36.831627176179296,,,0.7299554703702342,0.31807186206368243,6.843421951676848,0.572265625,,
0.6926731199920177,1228,,,,0.1015625,-0.01953125,-0.990234375,-0.007012883546930126,,12.289803077559935,0.5494302721970976,2993,0,6.629539842667517,2.1977127087951502,33.15030546540708,0.028846380780855514,0.009562663344568085,0.8507422021621045,0.4320493620829282,7.980789408119127,0.5625,,
0.7828031200021506,1228,,,,0.0625,-0.01953125,-1.00390625,-0.006857831911183531,0.043145304216368335,12.289000468533104,0.5445330841620448,2987,0,6.553446507478898,2.1454700910308073,32.738042319905446,0.020109953709789935,0.006583605156024425,1.1379980734318544,0.7730806819166745,7.349779514099774,0.55078125,,
0.8809181199967862,1228,,,,0.025390625,0.068359375,-1.078125,,0.04321343151872237,12.28967521963811,0.5498669205731214,2987,0,6.622445355239693,,32.39635136486219,,,1.1825625189447,0.8347901518330971,7.569958321393908,0.53515625,,
0.9773931200057269,1228,,,,0.1015625,-0.14453125,-0.9453125,-0.00704051810442109,,12.289544451294788,0.5513865630989829,2990,0,6.654901206243753,2.2041819215612426,33.12118171631515,0.01960520186469631,0.006493474535456472,1.2965447518096556,1.003444071511133,8.259117803686571,0.52734375,,
1.0611631200015545,1228,,,,0.048828125,-0.005859375,-1.041015625,,0.04326986839122253,12.289687657949656,0.5519044255476445,2987,0,6.669999741225125,,33.01556608879387,,,1.242611195700163,0.92167704012207,7.9079520405841555,0.515625,,
1.1549681199938058,1228,,,,0.064453125,0.025390625,-1,-0.008252356162455735,0.04328217984355772,12.290270068826738,0.5563583414241962,2988,0,6.7309929045683266,2.5820948737887344,38.36127760640286,0.01676242816750158,0.006430281602909148,1.1968841240875183,0.8550753598559666,7.550072226619253,0.501953125,,
1.252843119993806,1228,,,,0.0625,-0.0703125,-1.015625,-0.007031990933086526,,12.290460879406371,0.5571683916119896,2988,0,6.730050148373454,2.2002416278866064,32.69279692393332,0.019671557566671195,0.006431182367046453,1.1504532679514199,0.7900057702548864,7.258198050311897,0.486328125,,
1.35227811999619,1228,,,,0.10546875,-0.00390625,-0.958984375,,0.05475543609766713,12.290587629877745,0.5542275310342355,2989,0,6.690393830538224,,32.894569047073745,,,1.193595000452566,0.8503527412643805,9.583001526819821,0.478515625,,
1.4383481200039387,1228,,,,0.046875,-0.04296875,-1.033203125,-0.007925403089803593,,12.290117603636606,0.5524638254657759,2988,0,6.669132580958548,2.4802449092502026,37.18991756636692,0.022076624729055538,0.008210278538171929,1.1432495373535911,0.7801182648285092,9.208055594643302,0.47265625,,
1.533298120006919,1228,,,,0.1015625,0.03515625,-0.953125,-0.007807120735361653,0.04854596782398282,12.28983636636335,0.5508488258165964,2991,0,6.638550667984477,2.4455587144074045,36.838744429586434,0.019850665427898442,0.0073127359045557765,1.1045675645642352,0.7282122098480457,7.923940081517079,0.46484375,,
1.6293381199836732,1228,,,,0.05859375,-0.05078125,-1.01953125,,0.05051509704713873,12.289193544427729,0.5468526458367678,2988,0,6.56312893600162,,37.227103823915705,,,1.0643103331975687,0.6760906464445569,8.036140875552276,0.462890625,,
1.7264731199890375,1228,,,,0.037109375,0,-1.001953125,-0.008253357255474342,,12.288612164514786,0.5543879797542401,2986,0,6.66534191941772,2.5809733918909674,38.722295466523335,0.019572110741571228,0.007578770550386363,1.2849224026319812,0.9854118222750756,9.553107555371568,0.462890625,,
1.8223031200021504,1228,,,,0.08984375,-0.015625,-0.982421875,,0.052153240581719905,12.28912330960236,0.553937261991778,2985,0,6.6908157340196945,,38.554753238284185,,,1.385681802249346,1.146006215715154,10.595824349235723,0.46484375,,
1.9443231199979782,1228,,,,0.078125,0.0078125,-1,-0.008807746090168643,0.05254477869782128,12.289381938919936,0.5520039176821416,2980,0,6.67318680001136,2.7483078583341065,41.1843387679396,0.01911895661124057,0.007874015859668702,1.4739028181741303,1.296563752465211,11.38502901676114,0.46484375,,
2.035038119986653,1228,,,,0.06640625,-0.02734375,-1.01171875,-0.007447753032254508,,12.288645421295623,0.5467785956328405,2972,0,6.605006806629047,2.3182210126208194,35.097935255633054,0.022665991901444207,0.00795529516261592,1.475774153603859,1.2998474729068974,11.517154824558094,0.462890625,,
2.1198981200009586,1228,,,,0.072265625,-0.037109375,-0.986328125,-0.007094308477452765,0.06215568547676385,12.28895525757774,0.5465348935448837,2975,0,6.5764375216535464,2.209871143607137,33.60286076361139,0.02812638449828714,0.009451269820797406,1.4121597880399173,1.1901940891606344,13.093115826295271,0.46484375,,
2.2123531199991704,1228,,,,0.0625,-0.041015625,-0.99609375,,0.05739151860239268,12.289089184143673,0.5496978243012528,2978,0,6.628994513227512,,33.37820472920604,,,1.4200107670136488,1.2034589173630437,12.060371943055683,0.46875,,
2.319308119997382,1228,,,,0.037109375,0.06640625,-1.0390625,-0.006633641893725029,,12.289193795887567,0.5475668757120336,2984,0,6.611729113888228,2.0727443317535403,31.349504736962825,0.027688662669669198,0.008680258615229603,1.427467360930871,1.2161695840917517,12.155360926383354,0.470703125,,
2.4223081199973824,1228,,,,0.08984375,-0.056640625,-0.990234375,,0.05272330210606187,12.289442533348895,0.5513421423184254,2986,0,6.645243779829016,,31.210907264527094,,,1.2700755640614647,0.9627982984687904,9.885309081566986,0.48046875,,
2.5115331200063227,1228,,,,0.078125,-0.0390625,-0.994140625,-0.0058669848914980754,0.05165906649874784,12.28909848058578,0.5514909554254077,2985,0,6.660910553328712,1.8338342712625628,27.531285048500248,0.028169975503392394,0.007755556253931653,1.2133241430176227,0.87866671512473,9.231213576163483,0.48046875,,
2.600123119994998,1228,,,,0.064453125,-0.025390625,-1.0078125,-0.007065885462001675,,12.289856528227237,0.5516270962182191,2981,0,6.661823318523275,2.2058197062734175,33.11135106420656,0.023419441920764377,0.007754493631662253,1.2453495914532322,0.9256539952688243,9.47357142207105,0.484375,,
2.6978431199938058,1228,,,,0.072265625,-0.041015625,-0.986328125,,0.045395037529886224,12.290002733245057,0.5513295330178483,2980,0,6.647317760412927,,33.17284616705912,,,1.0318764343816855,0.6355030305507015,6.912874004427465,0.478515625,,
2.7958931199908257,1228,,,,0.033203125,0.033203125,-1.03515625,-0.007689766608708539,,12.29016566471314,0.5570711445301229,2983,0,6.716021509795713,2.402171448082377,35.76777478420324,0.018897501078086874,0.006759215625452493,0.9978709261067534,0.5943020976004689,6.616673085562932,0.46484375,,
2.898293119996786,1228,,,,0.14453125,-0.109375,-0.94921875,-0.0076708702093877534,0.050857220003767176,12.290261244084512,0.5521088307273865,2984,0,6.666450290386454,2.397079200409531,35.957355053952895,0.021216328603192766,0.007628830605263388,0.7147329722081726,0.30488964126778484,5.348977814286095,0.45703125,,
2.9852481200098993,1228,,,,0.01953125,0.140625,-1.025390625,,0.052121556501112276,12.289376104525743,0.5558965563517688,2987,0,6.718393980223751,,35.712735269257685,,,0.7096597078223114,0.30057455638178254,5.400961280632774,0.447265625,,
3.074043119996786,1228,,,,0.0234375,0.14453125,-1.041015625,-0.007772017479899194,,12.289036097003642,0.5533862802334453,2996,0,6.691948386316811,2.4380598699832654,36.43273571817179,0.021378292281833928,0.007788696728098872,0.7058383450572857,0.297344618386326,5.393107153348831,0.4375,,
3.1611581199914216,1228,,,,0.103515625,0.11328125,-0.96875,,0.05304542745848719,12.287284919125325,0.5624463047177373,3005,0,6.788286474949269,,36.022985072558534,,,1.0222571092237382,0.623688507458958,7.836406180891832,0.431640625,,
