Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1250,,,,0.03642578125,-0.06611328125,-1.01123046875,0.00017850608377112045,0.06689236716818545,11.979231526272281,0.613709838065729,6538,0,7.213088391594367,0.18021050886320916,2.5059049862738645,0,0.00928234707842259,1.44990234375,,
4.143608336750091,1270,,,,0.0841796875,-0.05986328125,-1.00849609375,-0.0014760944304313532,0.05316724057042234,11.978007306882606,1.1122638828922422,8139,0,13.196637293890987,1.2580825922498136,9.535912018236628,0.042916715870617385,0.004029447387568398,1.620703125,,
7.479761586750089,1290,,,,0.01083984375,0.004296875,-0.99384765625,-0.003587364125146568,0.038975106692986525,11.974613962985014,1.753338554358746,9563,0,20.84882114909391,3.5927409844361238,17.230242118565155,0.010866869671216296,0.0018695136493933492,1.91484375,,
10.869456836750079,1310,,,,-0.06328125,-0.0201171875,-0.95546875,-0.0055681468184902595,0.023410698400384067,11.973181442359808,2.478256348802773,10828,0,29.534114328622717,6.313510840636034,21.378386228176325,0.0037073161873782618,0.0007927501004008422,1.60166015625,,
14.261354336750113,1330,,,,0.03603515625,0.03642578125,-1.0599609375,-0.007527552115410671,0.008933333705290376,11.97285158469031,3.2222699296891406,11885,0,38.448736093040154,9.368837168358557,24.366914459768758,0.0009535561485438911,0.00023227912963020336,1.82001953125,,
17.674908336750086,1350,,,,-0.11455078125,-0.18701171875,-0.91416015625,-0.00974115348090045,-0.005802969934568508,11.986668252088037,4.023132949752452,12854,0,48.163428803949515,13.112719377759365,27.22616609684482,0.0004423123460355314,0.00012043066978071754,2.19287109375,,
21.029850086750205,1370,,,,0.01767578125,-0.00263671875,-1.013671875,-0.01146049954853632,-0.017519798390207432,11.973679441860664,4.807915885375947,13641,0,57.4371735323852,16.37171018025407,28.503921028306927,0.0010720954327766627,0.00030508365511546496,2.11123046875,,
24.397710086750127,1390,,,,0.0173828125,-0.03212890625,-1.0412109375,-0.012797658666255315,-0.031060476249714964,11.954943672381557,5.557824476645645,14355,0,66.31569522576302,19.23834630092239,29.01094437453032,0.0016147817045276622,0.00046837651132877414,2.083984375,,
27.85641683675009,1410,,,,0.02138671875,0.1302734375,-1.08544921875,-0.014910611191465379,-0.04201151142122615,11.94204724874482,6.389574976880203,15054,0,76.17535722042079,23.506631413435205,30.85868661374834,0.00178766147474211,0.0005515195573148995,2.45458984375,,
31.24484083675019,1430,,,,-0.151953125,0.14296875,-1.017578125,-0.016496397148936366,-0.055203700021066185,11.932078259289215,7.185619849900215,15684,0,85.57249025349998,27.094335629616968,31.662434413355527,0.0020375828432235626,0.000645111697436123,2.63369140625,,
