Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1248,,,,0.024609375,0.01640625,-0.99453125,0.0009740230357719017,-0.0633195781120478,12.562273451287487,0.6094228285096578,2917,0,7.550943011757807,0.29748460847080255,3.9396291189612804,0.25147216753977214,0.008385650526266756,0.35234375,,
0.5633957340031863,1248,,,,0.01171875,0.003125,-1.0171875,0.001289522329524916,-0.05611142795741175,12.559309153837003,0.6190975585961185,2946,0,7.6721332223450265,0.3978335771953542,5.189445711740103,0.14113625499138163,0.007316395748121341,0.329296875,,
3.2147837340012195,1248,,,,0.000390625,-0.0515625,-1.068359375,0.002096994387698605,-0.04639358993069431,12.55013189707314,0.5963953174795669,3109,0,7.39757975772211,0.6827946885522962,9.23027094264192,0.06799505417925808,0.006271777419660262,0.359375,,
3.5216087340027094,1248,,,,0.00625,0.029296875,-1.021484375,0.0006003951083071334,-0.0489513480141107,12.549266351085148,0.5918922075562884,3131,0,7.324077219696532,0.20848217194182403,2.8430927906220873,0.6475573137257171,0.006683706020066879,0.38046875,,
6.765461734005808,1248,,,,0.012890625,0.01015625,-1.004296875,0.0005091121627839004,-0.05788009988624143,12.53528134424269,0.6072970624803785,2935,0,7.498395046437895,0.15644855819070433,2.0906486819354453,0.41183193856721445,0.007723504207199787,0.358984375,,
7.0273557340011,1248,,,,0.027734375,0.012109375,-1.01875,-0.000042900831475514064,-0.05734427337682498,12.534982096405832,0.6073030959315697,2930,0,7.5371987218422305,0.09845015189182353,1.3067330808647097,0.6413408256753351,0.007608622491117592,0.35078125,,
7.325719734002649,1248,,,,-0.00234375,0.022265625,-1.017578125,-0.0005660285294182966,-0.0525339117891034,12.53406567397901,0.6072303171273792,2910,0,7.510542102725422,0.17258705742958289,2.2886861538194982,0.41988984105966054,0.006994307616458635,0.36640625,,
16.523701734001936,1248,,,,0.023046875,-0.004296875,-1.01171875,0.0010634428058925876,-0.06254487528789922,12.51199431473527,0.5987475076035761,3036,0,7.386747137280167,0.33815034917269127,4.576345512759438,0.18875862511968208,0.00846749127487515,0.345703125,,
16.944990734003483,1248,,,,0.0234375,0.005078125,-1.012109375,0.0017284768374109132,-0.050563854597164136,12.510512244140084,0.6021140075469535,2985,0,7.432624326550879,0.5401056719386604,7.260777754440026,0.09908763474132422,0.006804220331526585,0.3421875,,
17.369917734004556,1248,,,,0.029296875,-0.000390625,-1.021875,0.0014921003232100966,-0.057444570660984816,12.509395107399552,0.6168193840988146,2974,0,7.612872742497396,0.4643957531552364,6.100390658484633,0.1321985009270866,0.007545823964758021,0.325390625,,
17.831040734001995,1248,,,,0.0203125,0.008203125,-1.026171875,0.0007462884734406921,-0.05227881641537439,12.509822676488227,0.5978898871544628,3070,0,7.376179424642627,0.26101991445143685,3.539939778570718,0.33235303846065267,0.007087787977541425,0.32109375,,
59.71923773400188,1300,,,,-0.0390625,0.13046875,-1.016015625,0.0015996252771544087,-0.15418937235918184,12.195349914048775,1.769149330545901,5016,0,21.46514782318898,0.8406176317507699,3.911327252467296,0.18701691986316762,0.007183884753008444,1.106640625,,
